osm_type,osm_id,name,operator,operator_wikidata,ref,lat,lon,footprint_m2,county_fips,state,first_seen
way,193611211,Equinix New York Secaucus NY4,Equinix,Q851641,NY4,40.776428,-74.069776,29475.5,34017,NJ,2016-12-17
way,193611216,Equinix NY3,Equinix,Q851641,Equinix NY3,40.774852,-74.068890,25485.8,34017,NJ,2025-05-06
way,193611219,Equinix New York Secaucus NY2,Equinix,Q851641,NY2,40.777420,-74.075917,37436.3,34017,NJ,2016-12-17
way,193612533,Centersquare NYC3 Data Center,Centersquare,,,40.786164,-74.069182,13300.3,34017,NJ,2023-04-26
way,194049551,QTS Sacramento,Quality Technology Services,Q18392800,,38.646349,-121.486223,8379.5,06067,CA,2023-11-29
way,195165330,,,,,39.290601,-94.675865,5488.6,29165,MO,2022-07-02
way,195165354,,,,,39.295658,-94.673472,22308.0,29165,MO,2022-07-02
way,195165374,Black Rock Financial Management,,,,39.295492,-94.678025,7434.6,29165,MO,2022-07-02
way,195169261,,,,,39.302406,-94.684792,4751.1,29165,MO,2022-07-02
way,195664350,Cherokee Data Center,,,,36.262546,-95.910031,38538.8,40143,OK,2024-01-06
way,199252950,CyrusOne Chicago Aurora CME,CyrusOne,Q16953751,,41.796711,-88.243603,44881.8,17043,IL,2024-12-22
way,200989527,Xfinity/Comcast Data Center,,,,39.588307,-104.832435,4769.5,08005,CO,2024-01-23
way,203432103,IU Data Center,Indiana University,,,39.174419,-86.500703,8760.6,18105,IN,2023-09-11
way,204316962,IO Datacenter,,,,40.520901,-74.347317,77101.1,34023,NJ,2021-09-19
way,204460681,DataBank Piscataway EWR2,,,,40.549213,-74.458210,4705.2,34023,NJ,2016-12-17
way,204460799,Optimum,,,,40.546826,-74.492029,6329.1,34023,NJ,2021-08-10
way,204460812,Equinix,Equinix,Q851641,,40.544882,-74.495381,5790.8,34023,NJ,2021-08-10
way,204460835,Barclays Datacenter,Barclays,,,40.547244,-74.459737,32728.5,34023,NJ,2024-10-04
way,204460903,Digital Realty New York EWR12,Digital Realty,Q5275969,EWR12,40.552905,-74.459301,28130.7,34023,NJ,2016-12-17
